ts_code,trade_date
000430.SZ,2020-01-02
000430.SZ,2020-01-03
000430.SZ,2020-01-06
000430.SZ,2020-01-07
000430.SZ,2020-01-08
000430.SZ,2020-01-09
000430.SZ,2020-01-10
000430.SZ,2020-01-13
000430.SZ,2020-01-14
000430.SZ,2020-01-15
000430.SZ,2020-01-16
000430.SZ,2020-01-17
000430.SZ,2020-01-20
000430.SZ,2020-01-21
000430.SZ,2020-01-22
000430.SZ,2020-01-23
000430.SZ,2020-02-03
000430.SZ,2020-02-04
000430.SZ,2020-02-05
000430.SZ,2020-02-06
000430.SZ,2020-02-07
000430.SZ,2020-02-10
000430.SZ,2020-02-11
000430.SZ,2020-02-12
000430.SZ,2020-02-13
000430.SZ,2020-02-14
000430.SZ,2020-02-17
000430.SZ,2020-02-18
000430.SZ,2020-02-19
000430.SZ,2020-02-20
000430.SZ,2020-02-21
000430.SZ,2020-02-24
000430.SZ,2020-02-25
000430.SZ,2020-02-26
000430.SZ,2020-02-27
000430.SZ,2020-02-28
000430.SZ,2020-03-02
000430.SZ,2020-03-03
000430.SZ,2020-03-04
000430.SZ,2020-03-05
000430.SZ,2020-03-06
000430.SZ,2020-03-09
000430.SZ,2020-03-10
000430.SZ,2020-03-11
000430.SZ,2020-03-12
000430.SZ,2020-03-13
000430.SZ,2020-03-16
000430.SZ,2020-03-17
000430.SZ,2020-03-18
000430.SZ,2020-03-19
000430.SZ,2020-03-20
000430.SZ,2020-03-23
000430.SZ,2020-03-24
000430.SZ,2020-03-25
000430.SZ,2020-03-26
000430.SZ,2020-03-27
000430.SZ,2020-03-30
000430.SZ,2020-03-31
000430.SZ,2020-04-01
000430.SZ,2020-04-02
000430.SZ,2020-04-03
000430.SZ,2020-04-07
000430.SZ,2020-04-08
000430.SZ,2020-04-09
000430.SZ,2020-04-10
000430.SZ,2020-04-13
000430.SZ,2020-04-14
000430.SZ,2020-04-15
000430.SZ,2020-04-16
000430.SZ,2020-04-17
000430.SZ,2020-04-20
000430.SZ,2020-04-21
000430.SZ,2020-04-22
000430.SZ,2020-04-23
000430.SZ,2020-04-24
000430.SZ,2020-04-27
000430.SZ,2020-04-28
000430.SZ,2020-04-29
000430.SZ,2020-04-30
000430.SZ,2020-05-06
000430.SZ,2020-05-07
000430.SZ,2020-05-08
000430.SZ,2020-05-11
000430.SZ,2020-05-12
000430.SZ,2020-05-13
000430.SZ,2020-05-14
